line_id,writer_id
g06-031b-00,333
g06-042c-00,334
e06-070-01,207
g06-037e-08,336
d04-096-02,195
f04-004-04,272
e06-026-08,205
g03-040-06,313
f04-079-06,282
d03-117-05,183
c03-087b-00,151
r03-030-02,660
a01-030-06,5
h07-003-00,355
j01-059-03,396
f01-075-05,253
k02-018-06,418
p06-088-08,634
a04-006-08,58
b04-195-06,114
a05-044-08,0
c04-150-01,170
c02-056-05,145
m04-138-02,547
k04-075-03,446
e02-074-00,223
g06-050o-07,346
c03-094a-09,150
k02-112-06,429
l04-174-02,494
g06-045r-03,348
h04-007-06,330
g06-018d-04,335
j04-053-01,407
g04-077-04,326
r06-035-00,670
m03-033-03,539
j01-042-06,394
r06-003-00,635
g04-052-02,322
g01-067-07,300
j04-019-07,403
d04-125-04,198
c03-016b-02,151
p03-173-07,630
n01-031-08,555
p06-047-06,634
l07-131-00,497
a03-006-03,40
a06-039-04,72
b02-102-00,98
h04-000-03,239
c06-080-05,133
f07-024a-04,288
g06-018m-06,344
d05-021-06,199
c03-016e-01,154
k04-005-05,406
e02-094-08,227
m01-049-11,506
a05-039-00,0
f01-081-02,254
l04-130-04,490
h07-066b-02,390
b06-056-07,125
f04-068-04,281
l04-153-04,492
a03-030-09,48
n04-031-00,582
n04-022-04,582
e07-098-04,248
r06-018-01,635
a01-113-07,18
p06-047-03,634
d04-037-02,187
j04-008-02,400
a03-030-02,48
a02-067-00,32
c06-052-00,126
c04-039-00,161
g06-045n-02,345
l01-195-04,474
n04-183-01,586
g06-018i-02,340
m01-012-09,500
l04-093-07,486
e07-076-03,247
l04-124-01,489
p02-090-02,598
n01-045-07,555
e06-006-08,202
a04-072-01,62
c04-165-06,172
c02-059-03,146
g07-000b-05,293
g06-045c-05,334
a03-047-04,37
r06-121-09,671
e02-082-06,224
f02-044-04,265
b01-079-04,91
c06-083-07,174
b03-104-04,104
l04-170-04,493
l07-103-05,496
g06-031m-03,344
r06-076-00,670
a02-120-07,39
r03-002-04,658
m04-180-02,548
a01-007u-07,0
k03-152-07,434
l01-157-02,470
j01-042-09,394
g01-070-00,300
h02-043-05,373
b04-010-07,107
a05-069-04,0
l04-179-06,494
c04-150-07,170
a05-104-06,0
c03-094b-01,151
e01-018-04,210
j04-012-08,401
h07-080a-03,392
c04-035-04,159
b06-015-08,127
c04-089-00,166
f07-076a-03,292
c03-084c-00,152
g01-027-02,297
g07-007a-07,294
b05-032-01,116
r03-026-05,659
g06-050h-00,339
c06-076-06,128
d06-041-01,208
n04-052-05,583
d04-028-01,186
d04-101-01,195
j06-056-03,415
d04-121-02,197
b06-008-04,125
l01-111-06,465
f01-058-08,250
e04-132-01,241
e01-029-01,212
g06-050j-02,341
g06-037g-04,338
h01-014-06,357
c06-111-01,124
f07-028a-02,288
g07-003b-08,350
n01-020-04,555
n01-057-08,558
p06-069-04,634
c04-098-05,166
d06-056-05,206
b03-025-01,100
r06-097-01,671
b04-004-10,107
g04-104-05,330
a06-152-05,86
a01-030u-07,0
a01-049u-06,0
m04-061-03,545
k07-063a-04,454
l07-131-02,497
l01-000-06,457
f02-040-08,264
c06-000-01,130
b04-147-06,112
j04-080-06,410
a01-020x-05,10
n01-057-00,558
n02-040-07,563
b06-100-05,133
e01-050-01,213
d04-066-06,191
g06-045p-01,347
r02-013-05,640
c03-084e-00,154
e07-066-08,246
n06-201-02,551
g06-018e-02,336
g01-045-00,299
p06-047-04,634
g01-022-07,297
g06-042n-02,345
g01-043-06,299
c04-080-06,165
g06-045d-02,335
h04-000-08,239
g06-045r-00,348
m03-118-05,543
g07-000a-03,294
n04-022-01,582
f01-139-06,217
n04-114-02,584
e01-035-05,212
j04-046-03,405
r06-011-04,635
m04-107-07,547
e04-124-06,243
m04-093-05,546
b04-096-02,110
g06-031o-04,346
l01-119-06,466
a05-080-09,0
r03-096-00,667
j06-022-03,415
m06-106-05,552
c03-007a-03,150
g06-045m-01,344
b06-032-01,130
m03-006-05,536
k07-067a-03,454
f07-032b-11,289
f04-074-02,282
a01-113u-08,0
d04-053-09,188
g06-026o-07,346
a04-031-07,60
l04-012-01,480
a05-044-03,0
d06-100-04,207
a04-089-01,63
f07-046a-04,285
l07-138-00,497
r02-109-04,650
c04-165-02,172
a03-059-01,54
a06-020-02,69
e07-061-10,246
h01-018-04,357
c02-022-01,140
c06-000-05,130
c03-084e-03,154
h04-057-03,380
g06-031i-04,340
l01-129-05,467
p03-151-02,627
r06-053-04,670
d01-052-07,177
r06-126-06,671
m01-121-00,513
b01-127-03,94
e06-053-07,208
f07-024b-00,287
d04-047-07,188
h02-019-05,366
f07-069-02,291
g01-088-01,302
d07-089-10,209
a03-023-10,46
j04-098-01,412
b06-042-06,131
j06-034-01,415
n04-092-06,584
a02-042-00,26
a04-006-09,58
d07-089-01,209
r06-111-05,671
g04-072-05,325
a02-106-09,37
g06-050n-05,345
f04-064-02,280
l07-187-02,498
n06-156-00,551
g06-042m-04,344
g06-045m-05,344
e02-014-00,219
d04-028-04,186
a01-014-05,7
r03-002-00,658
d04-121-00,197
m04-209-06,549
k02-023-03,419
n04-149-02,585
g06-042b-07,333
a06-141-03,85
d01-019-00,175
e04-068-04,237
g06-045j-02,341
b01-023-06,88
b01-073-08,91
c03-094d-06,153
a01-026u-05,0
f07-021b-01,287
g06-026m-01,344
j01-049-03,395
a01-014x-09,8
p03-072-06,622
h01-018-06,357
d04-089-06,194
g06-031p-07,347
r06-090-04,671
a06-014-10,68
f04-079-00,282
l03-008-07,478
k04-156-00,453
a01-053-10,13
c03-000a-00,150
a03-043-04,52
c04-013-06,158
a01-122u-07,0
j06-051-05,415
a01-058x-04,14
p01-174-08,592
r06-137-10,671
d05-013-01,200
g01-008-00,295
b06-019-08,128
a03-011-02,42
k02-117-05,430
c04-089-04,166
f02-000-02,257
f07-016-02,287
n06-163-00,551
c02-007-06,139
p03-072-05,622
c04-128-02,165
m04-024-07,544
d06-030-05,174
g06-018e-00,336
a02-004-06,22
h07-025-06,386
a05-080-04,0
g03-058-04,317
j06-056-06,415
k04-017-04,239
a04-039-03,60
c02-089-01,149
g06-026b-06,333
n06-175-06,551
a05-125-05,0
n04-107-04,584
c03-096b-04,151
d04-111-04,196
p02-008-03,594
r02-117-03,651
a01-043u-02,0
b05-032-06,116
g06-026m-02,344
h04-052-07,379
p03-185-04,632
h06-092-01,384
b04-054-00,109
m01-049-06,506
a01-003x-08,3
a02-116-02,38
c03-084f-05,155
a05-121-01,0
e01-035-00,212
r06-126-07,671
e02-094-03,227
d06-025-02,205
f07-000b-00,286
p02-127-06,605
g01-074-08,300
c06-031-05,130
g01-083-01,301
g06-018g-00,338
k01-051-03,417
l01-111-08,465
f07-081a-02,292
l04-034-02,482
k07-059a-02,454
n04-052-00,583
l07-135-06,497
f07-042b-04,289
a03-030-00,48
e02-086-05,225
d01-052-02,177
l04-163-03,493
k07-146-00,455
g06-096-01,349
l04-000-02,479
f07-000-05,285
g06-047a-02,332
b06-045-05,132
l07-187-00,498
f04-061-06,280
b04-140-00,112
g07-047-07,353
a01-107u-00,0
n01-000-07,553
k04-022-00,240
h04-052-08,379
c06-080-02,133
n02-157-07,570
p03-057-09,567
f02-000-00,257
g06-037i-02,340
d06-091-10,202
d06-100-01,207
d04-101-03,195
g06-018b-03,333
c04-050-02,162
l04-124-08,489
c06-116-03,133
a01-117-03,19
n04-202-00,587
g06-031g-06,338
c03-096f-08,155
a03-009-02,41
c04-165-08,172
c03-021c-08,152
h07-078a-07,392
g07-065-05,354
a01-102u-00,0
l07-187-08,498
l07-111-00,496
g04-088-00,328
a01-007-04,4
p03-087-06,567
g06-018l-03,343
l04-179-07,494
e02-094-05,227
g03-043-10,314
l07-176-03,498
g03-058-07,317
a02-037-06,26
a06-095-09,80
g07-007b-00,350
h04-052-09,379
g06-011h-05,339
h02-004-04,362
n02-104-02,315
a02-072-01,33
h07-069a-05,390
e04-095-05,241
b01-057-05,17
r06-044-08,670
a05-000-06,0
r02-131-05,653
f07-088a-05,292
p02-144-04,609
f04-028-06,275
m04-000-00,544
a01-128u-01,0
g06-037c-01,334
a01-132-07,20
m01-012-04,500
e04-083-01,239
n01-004-06,554
g06-050n-09,345
b06-079-00,130
h07-044a-01,388
p06-104-08,634
l04-106-00,488
b01-079-01,91
a03-050-03,0
b05-074-10,119
g06-045a-02,332
e02-018-04,220
k02-067-02,424
c06-080-07,133
a02-046-07,27
m01-104-05,513
b06-075-07,124
g06-026l-00,343
a03-054-07,53
a01-014u-04,0
l01-129-03,467
a06-128-06,84
b03-092-00,102
h04-035-06,377
g06-045n-01,345
j06-026-06,415
n03-091-02,576
h07-075-06,391
g01-037-01,298
e07-086-05,247
f01-081-01,254
g06-026b-01,333
g01-027-05,297
a05-113-07,0
g06-026j-00,341
j06-056-09,415
n04-218-03,587
m01-121-08,513
h04-082-01,383
l04-082-04,485
g06-050p-05,347
a03-071-05,0
a05-073-00,0
n01-020-09,555
g01-067-00,300
c02-007-03,139
m04-100-07,546
k07-134-07,455
d04-053-02,188
a01-003-02,2
a05-108-07,0
g06-011c-08,334
m01-131-04,514
d06-086-06,208
m04-190-00,549
k04-014-03,441
g06-037i-09,340
a04-096-04,64
g06-018i-05,340
g05-087-05,331
h04-057-06,380
h07-040b-06,387
f07-039a-06,285
g01-016-06,296
n06-082-05,588
n04-084-03,584
f04-100-10,193
f07-016-06,287
h07-013-04,385
a04-059-02,61
l01-157-01,470
e06-030-08,204
n06-148-00,551
k04-014-04,441
c03-087d-07,153
c03-007-04,156
a04-099-00,64
g07-018a-10,351
e02-082-08,224
m01-032-00,504
l07-118-06,497
c06-020-05,125
e02-014-03,219
f01-075-04,253
a01-058x-09,14
c04-004-05,157
g06-031d-01,335
d05-040-00,201
r02-006-00,638
d07-089-03,209
l04-174-04,494
a04-035-01,60
b02-013-05,95
m06-042-05,552
a06-000-04,66
a01-014-00,7
b05-067-01,118
g02-065-00,305
c04-080-00,165
a01-072u-04,0
k02-036-03,421
c04-075-03,164
a01-026-05,9
b06-056-09,125
p01-174-01,592
c03-021d-01,153
e04-119-05,243
b05-079-09,120
f07-081b-02,291
k02-076-02,425
a05-009-02,65
c03-087f-04,155
c03-021a-03,150
b02-035-05,95
r06-044-09,670
r06-000-01,635
c03-007d-06,153
m04-216-01,549
e01-107-00,216
f04-096-03,193
r02-131-04,653
g01-022-08,297
h04-055-04,379
l07-103-06,496
h02-004-09,362
m03-114-05,542
e01-032-10,212
d06-011-00,204
n02-151-03,568
f07-000b-03,286
g03-032-00,312
d06-086-03,208
g06-115-03,349
e06-003-00,204
d04-062-04,190
b04-140-06,112
r02-081-04,648
j04-035-00,405
r06-027-04,635
g06-042c-01,334
p06-030-04,634
j01-042-03,394
r06-049-04,670
l01-065-10,461
f02-040-01,264
b06-049-01,124
c06-011-05,173
r06-041-03,670
p02-069-05,598
g04-068-00,325
b01-057-06,17
g06-031a-08,332
f07-024b-10,287
m04-072-06,546
g06-042a-02,332
g06-026n-07,345
g06-031l-02,343
a02-050-06,28
g06-042r-01,348
h07-033a-00,387
c06-043-03,133
r06-126-03,671
b03-092-06,102
m02-066-02,524
k07-077-04,454
e02-082-03,224
b06-049-05,124
n04-213-06,587
m02-102-06,533
a04-069-03,62
h07-007-03,355
m01-012-05,500
r06-041-05,670
g01-027-09,297
e04-095-02,241
l07-176-00,498
k04-075-06,446
g06-096-04,349
h07-054a-06,389
m06-076-04,552
k07-158-06,456
f04-043-05,277
g07-028b-00,352
n04-044-08,582
a02-067-01,32
f07-046b-00,290
a03-063-08,55
k07-166-06,456
p02-076-00,599
g06-011c-03,334
e04-034-07,234
c06-080-08,133
n06-140-03,588
m02-112-05,535
b05-079-03,120
h07-040b-05,387
f01-058-07,250
h07-069-00,391
a04-099-10,64
h07-069a-02,390
r02-000-06,636
l07-085-03,496
a01-082u-01,0
f01-139-00,217
b05-042-09,117
p06-096-08,634
g01-025-07,297
k07-158-02,456
a05-000-03,0
c04-160-03,171
f07-092a-08,292
m06-019-03,551
d01-049-02,177
c04-089-03,166
c02-082-02,148
e01-035-02,212
m01-121-07,513
e07-094-04,248
d04-047-05,188
c03-021d-02,153
a01-063-00,13
h07-033-02,386
g06-018b-06,333
a03-047-08,37
g06-026k-05,342
g06-042o-00,346
a02-032-06,25
a01-000x-05,1
g06-047n-06,345
d04-008-00,184
g04-101-04,329
d07-093-00,209
j04-115-00,414
p06-030-08,634
a05-125-02,0
e01-102-03,215
g06-011o-09,346
d05-030-08,199
f07-096-00,293
f01-070-05,252
h07-025-00,386
a03-059-06,54
g06-037p-08,347
d05-013-06,200
e04-026-04,233
p02-000-06,593
m06-106-03,552
j04-039-04,404
l07-052-03,495
l04-034-03,482
g04-055-07,323
g07-014b-02,350
a04-096-02,64
d06-111-05,203
d01-019-05,175
d04-053-07,188
r06-011-00,635
h07-017-02,385
n06-128-06,588
a01-043x-06,11
k04-064-05,445
m02-112-03,535
f04-043-04,277
c02-030-04,142
j04-008-04,400
r03-050-01,662
d06-050-01,174
c02-082-06,148
j07-012-00,393
p03-135-04,625
a04-072-02,62
p03-027-03,616
a06-000-03,66
h07-060b-03,390
d01-080-06,179
b06-059-05,130
c06-020-02,125
a01-102u-02,0
a03-054-06,53
a05-029-06,0
g07-044-01,353
d05-025-01,199
k02-112-01,429
c04-144-01,170
r06-007-04,635
g06-037k-08,342
c03-021e-04,154
l04-071-04,484
g06-050i-00,340
e04-127-05,243
g01-025-03,297
f02-038-10,263
m01-017-05,501
a01-043x-04,11
f01-147-04,256
g06-037r-00,348
d01-052-05,177
a01-058x-01,14
c02-017-02,139
a02-111-02,37
a01-132u-07,0
a01-030x-01,10
l01-007-05,458
h07-040b-04,387
n04-213-04,587
a01-043u-06,0
g06-037o-05,346
e02-100-04,228
n02-033-06,562
a03-037-05,50
h07-069a-03,390
b02-035-00,95
a05-094-05,0
l01-023-06,458
h07-080-02,391
h01-007-00,356
r03-026-03,659
m02-066-05,524
g01-037-00,298
f02-038-04,263
a01-026u-09,0
n02-054-06,564
f01-075-09,253
e02-086-08,225
g06-037g-08,338
p06-069-00,634
a06-075-01,78
r06-115-09,671
l04-153-05,492
f01-058-02,250
l01-129-04,467
g06-018o-05,346
p06-042-00,634
g02-062-00,304
c03-016a-02,150
k04-093-03,447
g06-045k-06,342
a06-004-09,66
c03-007f-06,155
a03-047-10,37
r02-117-02,651
f04-039-01,277
l07-138-01,497
k04-142-03,452
n01-020-05,555
g06-031m-00,344
g06-037d-06,335
k04-119-01,449
f03-182-04,269
f07-073-05,291
d06-015-04,174
m04-238-04,550
f01-075-08,253
b06-075-02,124
d04-047-01,188
r02-010-02,639
b05-098-09,121
e01-025-10,211
n02-109-06,315
f04-028-09,275
a04-035-02,60
d07-082-01,209
c02-059-01,146
r02-006-08,638
l01-016-05,458
e07-061-06,246
c04-008-06,158
j01-059-00,396
a01-132u-02,0
b06-036-07,126
p02-022-07,596
p06-088-05,634
g06-050o-00,346
g07-079a-00,285
f07-013-06,287
a02-000-07,21
m02-106-00,527
b05-055-04,118
l03-008-03,478
l04-130-03,490
e06-006-06,202
g01-037-08,298
a03-080-00,0
h01-000-06,356
a05-084-08,0
d01-056-06,178
f01-066-03,251
c03-094b-05,151
d04-125-05,198
r03-026-04,659
n02-120-01,315
f02-030-04,261
e07-003-09,244
m04-251-01,548
g05-098-04,118
n04-031-03,582
m02-083-00,529
r03-030-00,660
g07-007a-09,294
l04-141-06,491
c03-094c-06,152
g06-045c-04,334
j06-030-04,415
d04-047-06,188
n02-016-01,559
e06-046-00,203
e02-086-09,225
a01-091-05,16
e01-062-07,213
g01-025-04,297
j01-042-07,394
c02-000-06,137
g06-018d-07,335
n03-126-04,581
p02-081-00,599
f07-088a-01,292
a01-102u-08,0
f03-182-05,269
g06-047d-01,335
g04-043-04,321
r02-089-07,649
a04-050-00,61
b05-038-05,117
g01-037-06,298
k04-093-00,447
l04-163-08,493
a01-030x-06,10
c02-017-00,139
a04-054-06,61
a05-125-04,0
a05-025-08,0
b04-089-06,110
l07-172-03,498
g06-045j-00,341
b01-127-08,94
k07-146-06,455
c03-087d-06,153
p06-030-07,634
g06-031b-08,333
f07-002-05,286
n04-202-02,587
g06-018a-04,332
g06-050i-07,340
f01-135-08,255
b01-094-03,92
a01-077-03,16
a03-009-01,41
f07-013-08,287
a02-072-02,33
a03-006-01,40
g06-047d-05,335
g06-045o-01,346
m01-115-03,515
c02-003-02,138
n02-009-05,560
c04-066-03,163
g06-045i-02,340
a05-099-00,0
p03-158-06,628
m02-048-02,520
k07-077-00,454
h01-018-01,357
f07-028b-04,289
g06-045e-00,336
a06-014-01,68
g06-018h-04,339
l01-119-07,466
p02-115-07,603
f07-092b-00,293
a01-068u-05,0
k04-126-03,451
l04-113-00,488
b05-088-05,122
r06-126-04,671
a03-030-08,48
g06-031k-07,342
m01-104-01,513
f01-058-01,250
c04-122-05,164
h04-061-06,380
e01-022-00,211
k07-122-06,455
r03-035-05,661
n06-175-01,551
d06-046-06,173
g07-047-04,353
k07-166-00,456
a02-057-00,30
a02-072-05,33
p03-096-05,567
a05-000-04,0
e06-046-03,203
r02-146-05,655
m01-115-08,515
a03-011-07,42
n04-015-05,582
l04-141-00,491
h07-040-04,388
f04-068-05,281
d04-008-02,184
e04-022-05,232
c03-094f-02,155
e04-119-00,243
f07-046b-04,290
g03-000-07,308
a01-063-07,13
a04-043-06,60
a06-039-01,72
g02-062-05,304
r02-010-01,639
m06-042-04,552
g05-098-03,118
l07-103-00,496
d06-000-01,202
a05-044-05,0
j04-111-09,414
m02-048-00,520
h07-028a-08,387
r03-056-05,663
p06-088-02,634
l01-000-09,457
b01-136-01,94
f02-044-01,265
a04-081-03,63
d01-024-08,176
c03-000f-02,155
l07-187-04,498
b01-079-09,91
g07-007a-04,294
g06-011g-05,338
b05-098-03,121
d05-008-04,199
f02-020-07,260
c03-084c-04,152
b05-067-02,118
n02-127-04,315
c03-003f-00,155
r03-026-02,659
f01-081-00,254
e02-021-04,221
c03-087f-08,155
r06-090-10,671
a05-069-01,0
h07-080-05,391
n04-190-04,586
e02-117-06,229
a01-128-05,19
n06-175-03,551
f04-071-09,281
a04-027-04,59
d06-072-03,207
c03-096b-07,151
d07-096-06,209
g06-026d-01,335
n06-140-04,588
b06-015-00,127
h07-075a-02,392
k04-103-03,448
j06-051-03,415
g01-025-01,297
c03-081b-05,151
l04-130-02,490
p03-087-04,567
e04-052-02,235
a01-020-04,9
f04-100-03,193
n04-100-05,584
b06-075-05,124
j04-070-01,409
g06-026h-03,339
a05-121-06,0
c02-059-07,146
k04-010-09,440
m01-095-05,512
l04-098-01,487
a04-054-04,61
g06-011r-06,348
b06-097-02,123
d06-020-00,173
n02-016-02,559
j06-005-00,384
k03-157-05,435
g07-018a-03,351
b01-027-06,89
a04-050-05,61
h07-025-01,386
g06-026l-01,343
k07-185-10,456
k07-122-05,455
l04-159-01,492
k03-117-06,431
m04-081-02,546
g06-011i-05,340
r03-007-07,658
c03-096d-01,153
f04-035-05,276
g06-047r-02,348
c04-050-06,162
g06-031l-04,343
c03-000c-04,152
g04-022-04,319
m04-024-04,544
a01-053x-05,14
f07-092b-03,293
a01-077-01,16
c06-116-06,133
m04-107-04,547
g06-031h-00,339
a05-113-05,0
k02-023-01,419
c02-082-09,148
a02-062-07,31
b06-036-00,126
j04-008-01,400
g04-039-06,320
a04-085-08,63
m04-113-09,547
e04-004-00,230
d04-121-01,197
g04-072-02,325
h01-014-03,357
a02-008-05,23
e04-109-02,242
l04-012-05,480
g03-052-06,316
j06-000-01,384
g06-011k-01,342
f07-081a-07,292
a04-010-05,58
r06-090-09,671
g06-031a-00,332
b04-162-05,113
c03-003a-04,150
a01-072x-03,1
b04-047-00,108
b06-049-04,124
g06-026a-05,332
a05-113-00,0
r06-115-02,671
k04-079-00,446
e06-006-03,202
e07-066-01,246
m04-038-03,545
g06-031o-07,346
m01-026-04,503
p03-096-01,567
p06-248-01,635
a01-000u-06,0
m01-115-05,515
a02-032-05,25
m04-222-04,549
j06-008-00,384
k07-176-04,456
b01-089-06,92
h07-063a-05,389
g04-060-02,324
e06-041-00,202
e04-109-00,242
j06-018-03,415
h07-025-07,386
f07-006-06,286
a04-103-03,64
f07-016-08,287
p01-155-04,590
d04-008-03,184
g06-037r-05,348
h07-013-06,385
a06-141-06,85
n06-194-00,551
n04-114-06,584
d06-003-06,203
g07-000b-07,293
e06-030-02,204
g06-037i-07,340
l07-181-01,498
e07-072-07,246
